Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Assassin's Creed: Revelations| https://www.vgchartz.com/game/51022/assassins-creed-revelations/| 2011| Action| Ubisoft| 1.41| 2.03| 0.10| 0.69| 4.23| PlayStation 3
Gran Turismo 5 Prologue| https://www.vgchartz.com/game/6972/gran-turismo-5-prologue/| 2007| Racing| Sony Computer Entertainment| 1.28| 1.83| 0.57| 0.52| 4.20| PlayStation 3
Street Fighter IV| https://www.vgchartz.com/game/13112/street-fighter-iv/| 2009| Fighting| Capcom| 2.04| 1.05| 0.59| 0.52| 4.19| PlayStation 3
Fallout 3| https://www.vgchartz.com/game/6993/fallout-3/| 2008| Role-Playing| Bethesda Softworks| 2.18| 1.15| 0.07| 0.61| 4.00| PlayStation 3
Assassin's Creed IV: Black Flag| https://www.vgchartz.com/game/71597/assassins-creed-iv-black-flag/| 2013| Action-Adventure| Ubisoft| 1.34| 1.86| 0.13| 0.62| 3.94| PlayStation 3
Sports Champions| https://www.vgchartz.com/game/43960/sports-champions/| 2010| Sports| Sony Computer Entertainment| 2.15| 1.13| 0.10| 0.50| 3.88| PlayStation 3
Motorstorm| https://www.vgchartz.com/game/3850/motorstorm/| 2006| Racing| Sony Computer Entertainment| 1.53| 1.61| 0.06| 0.67| 3.87| PlayStation 3
Battlefield 4| https://www.vgchartz.com/game/71510/battlefield-4/| 2013| Shooter| Electronic Arts| 1.31| 1.50| 0.27| 0.55| 3.64| PlayStation 3
FIFA 10| https://www.vgchartz.com/game/34959/fifa-soccer-10/| 2009| Sports| EA Sports| 0.60| 2.46| 0.05| 0.52| 3.63| PlayStation 3
Gran Turismo 6| https://www.vgchartz.com/game/72181/gran-turismo-6/| 2013| Racing| Sony Computer Entertainment| 0.77| 1.87| 0.41| 0.49| 3.54| PlayStation 3
LittleBigPlanet 2| https://www.vgchartz.com/game/43908/littlebigplanet-2/| 2011| Platform| Sony Computer Entertainment| 1.83| 1.07| 0.06| 0.47| 3.43| PlayStation 3
Far Cry 3| https://www.vgchartz.com/game/51770/far-cry-3/| 2012| Shooter| Ubisoft| 0.88| 1.79| 0.10| 0.50| 3.27| PlayStation 3
L.A. Noire| https://www.vgchartz.com/game/33961/la-noire/| 2011| Adventure| Rockstar Games| 1.29| 1.31| 0.12| 0.49| 3.21| PlayStation 3
Fallout: New Vegas| https://www.vgchartz.com/game/33662/fallout-new-vegas/| 2010| Role-Playing| Bethesda Softworks| 1.54| 1.04| 0.10| 0.49| 3.17| PlayStation 3
Elder Scrolls IV: Oblivion| https://www.vgchartz.com/game/6071/the-elder-scrolls-iv-oblivion/| 2007| Role-Playing| Bethesda Softworks| 1.69| 0.86| 0.14| 0.44| 3.12| PlayStation 3
Resident Evil 6| https://www.vgchartz.com/game/47359/resident-evil-6/| 2012| Action| Capcom| 0.88| 0.97| 0.88| 0.39| 3.12| PlayStation 3
Heavy Rain| https://www.vgchartz.com/game/7703/heavy-rain/| 2010| Adventure| Sony Computer Entertainment| 1.29| 1.24| 0.06| 0.48| 3.06| PlayStation 3
Killzone 2| https://www.vgchartz.com/game/12253/killzone-2/| 2009| Shooter| Sony Computer Entertainment| 1.40| 1.07| 0.08| 0.46| 3.02| PlayStation 3
InFamous| https://www.vgchartz.com/game/13108/infamous/| 2009| Action| Sony Computer Entertainment| 1.76| 0.68| 0.12| 0.42| 2.99| PlayStation 3
Battlefield: Bad Company 2| https://www.vgchartz.com/game/31438/battlefield-bad-company-2/| 2010| Shooter| Electronic Arts| 1.33| 1.11| 0.08| 0.44| 2.96| PlayStation 3
Mortal Kombat| https://www.vgchartz.com/game/70434/mortal-kombat-2011/| 2011| Fighting| Warner Bros. Interactive Entertainment| 1.98| 0.54| 0.00| 0.38| 2.90| PlayStation 3
Assassin's Creed: Brotherhood| https://www.vgchartz.com/game/45053/assassins-creed-brotherhood/| 2010| Action| Ubisoft| 1.87| 0.57| 0.11| 0.30| 2.85| PlayStation 3
Medal of Honor| https://www.vgchartz.com/game/41325/medal-of-honor/| 2010| Shooter| Electronic Arts| 1.28| 1.04| 0.07| 0.43| 2.82| PlayStation 3
Need for Speed: Hot pursuit| https://www.vgchartz.com/game/45649/need-for-speed-hot-pursuit/| 2010| Racing| Electronic Arts| 1.05| 1.24| 0.03| 0.49| 2.81| PlayStation 3
Killzone 3| https://www.vgchartz.com/game/33543/killzone-3/| 2011| Shooter| Sony Computer Entertainment| 1.46| 0.87| 0.09| 0.38| 2.81| PlayStation 3
Tekken 6| https://www.vgchartz.com/game/13114/tekken-6/| 2009| Fighting| Namco Bandai| 1.20| 0.97| 0.17| 0.42| 2.77| PlayStation 3
Need for Speed: Most Wanted (a Criterion Game)| https://www.vgchartz.com/game/70934/need-for-speed-most-wanted-2012/| 2012| Racing| Electronic Arts| 0.71| 1.52| 0.06| 0.45| 2.74| PlayStation 3
Madden NFL 13| https://www.vgchartz.com/game/70677/madden-nfl-13/| 2012| Sports| EA Sports| 2.12| 0.24| 0.00| 0.36| 2.71| PlayStation 3
Final Fantasy XIII-2| https://www.vgchartz.com/game/49773/final-fantasy-xiii-2/| 2011| Role-Playing| Square Enix| 0.78| 0.75| 0.89| 0.23| 2.66| PlayStation 3
Need for Speed: Shift| https://www.vgchartz.com/game/31147/need-for-speed-shift/| 2009| Racing| Electronic Arts| 0.69| 1.40| 0.04| 0.52| 2.65| PlayStation 3
NBA 2K13| https://www.vgchartz.com/game/70742/nba-2k13/| 2012| Sports| 2K Sports| 1.74| 0.46| 0.05| 0.39| 2.63| PlayStation 3
God of War Collection| https://www.vgchartz.com/game/38409/god-of-war-collection/| 2009| Action| Sony Computer Entertainment| 1.70| 0.45| 0.06| 0.40| 2.60| PlayStation 3
FIFA 09| https://www.vgchartz.com/game/25801/fifa-soccer-09/| 2008| Sports| Electronic Arts| 0.49| 1.63| 0.04| 0.43| 2.59| PlayStation 3
Ratchet & Clank Future: Tools of Destruction| https://www.vgchartz.com/game/7256/ratchet-amp-clank-future-tools-of-destruction/| 2007| Platform| Sony Computer Entertainment| 0.93| 1.10| 0.08| 0.45| 2.57| PlayStation 3
FIFA 16| https://www.vgchartz.com/game/85615/fifa-16/| 2015| Sports| EA Sports| 0.43| 1.68| 0.05| 0.38| 2.55| PlayStation 3
Tomb Raider| https://www.vgchartz.com/game/70428/tomb-raider-2013/| 2013| Action| Square Enix| 0.60| 1.45| 0.08| 0.38| 2.51| PlayStation 3
Midnight Club: Los Angeles| https://www.vgchartz.com/game/13115/midnight-club-los-angeles/| 2008| Racing| Rockstar Games| 1.59| 0.54| 0.05| 0.33| 2.50| PlayStation 3
Saints Row 3| https://www.vgchartz.com/game/33322/saints-row-the-third/| 2011| Action| THQ| 0.86| 1.06| 0.18| 0.37| 2.48| PlayStation 3
Resistance 2| https://www.vgchartz.com/game/15255/resistance-2/| 2008| Shooter| Sony Computer Entertainment| 1.15| 0.84| 0.10| 0.38| 2.47| PlayStation 3
Pro Evolution Soccer 2011| https://www.vgchartz.com/game/43332/pro-evolution-soccer-2011/| 2010| Sports| Konami| 0.29| 1.18| 0.54| 0.41| 2.41| PlayStation 3
God of War: Ascension| https://www.vgchartz.com/game/70705/god-of-war-ascension/| 2013| Action| Sony Computer Entertainment| 1.23| 0.72| 0.04| 0.41| 2.40| PlayStation 3
Madden NFL 11| https://www.vgchartz.com/game/43127/madden-nfl-11/| 2010| Sports| EA Sports| 2.05| 0.15| 0.00| 0.20| 2.40| PlayStation 3
Batman: Arkham Origins| https://www.vgchartz.com/game/71969/batman-arkham-origins/| 2013| Action-Adventure| Warner Bros. Interactive Entertainment| 1.08| 0.88| 0.04| 0.40| 2.40| PlayStation 3
Madden NFL 10| https://www.vgchartz.com/game/33187/madden-nfl-10/| 2009| Sports| EA Sports| 2.03| 0.13| 0.00| 0.21| 2.37| PlayStation 3
Sonic's Ultimate Genesis Collection| https://www.vgchartz.com/game/29684/sonics-ultimate-genesis-collection/| 2009| Misc| Sega| 1.39| 0.64| 0.00| 0.33| 2.36| PlayStation 3
Lego Star Wars: The Complete Saga| https://www.vgchartz.com/game/12568/lego-star-wars-the-complete-saga/| 2007| Action| LucasArts| 1.02| 0.93| 0.00| 0.36| 2.31| PlayStation 3
Dead Island| https://www.vgchartz.com/game/50304/dead-island/| 2011| Action| Deep Silver| 1.08| 0.74| 0.15| 0.32| 2.29| PlayStation 3
Pro Evolution Soccer 2010| https://www.vgchartz.com/game/33403/pro-evolution-soccer-2010/| 2009| Sports| Konami| 0.30| 1.27| 0.46| 0.26| 2.28| PlayStation 3
Madden NFL 12| https://www.vgchartz.com/game/50439/madden-nfl-12/| 2011| Sports| EA Sports| 1.93| 0.15| 0.00| 0.18| 2.27| PlayStation 3
Borderlands 2| https://www.vgchartz.com/game/55598/borderlands-2/| 2012| Shooter| 2K Games| 1.06| 0.75| 0.10| 0.36| 2.27| PlayStation 3
Guitar Hero III: Legends of Rock| https://www.vgchartz.com/game/7336/guitar-hero-iii-legends-of-rock/| 2007| Misc| RedOctane| 1.40| 0.53| 0.02| 0.30| 2.25| PlayStation 3
Star Wars: The Force Unleashed| https://www.vgchartz.com/game/13801/star-wars-the-force-unleashed/| 2008| Action| LucasArts| 1.01| 0.86| 0.00| 0.35| 2.22| PlayStation 3
NBA 2K14| https://www.vgchartz.com/game/72229/nba-2k14/| 2013| Sports| 2K Sports| 1.45| 0.34| 0.04| 0.39| 2.22| PlayStation 3
Pro Evolution Soccer 2012| https://www.vgchartz.com/game/51205/pro-evolution-soccer-2012/| 2011| Sports| Konami| 0.34| 0.97| 0.55| 0.32| 2.19| PlayStation 3
NBA 2K12| https://www.vgchartz.com/game/50998/nba-2k12/| 2011| Sports| 2K Sports| 1.62| 0.27| 0.05| 0.18| 2.13| PlayStation 3
Borderlands| https://www.vgchartz.com/game/13825/borderlands/| 2009| Shooter| 2K Games| 1.22| 0.61| 0.00| 0.29| 2.12| PlayStation 3
PES 2009: Pro Evolution Soccer| https://www.vgchartz.com/game/26632/pes-2009-pro-evolution-soccer/| 2008| Sports| Konami| 0.11| 1.34| 0.40| 0.26| 2.11| PlayStation 3
Grand Theft Auto: Episodes from Liberty City| https://www.vgchartz.com/game/42927/grand-theft-auto-episodes-from-liberty-city/| 2010| Adventure| Rockstar Games| 0.62| 0.99| 0.13| 0.34| 2.09| PlayStation 3
Hitman: Absolution| https://www.vgchartz.com/game/50956/hitman-absolution/| 2012| Action| Square Enix| 0.59| 1.08| 0.07| 0.32| 2.06| PlayStation 3
Need for Speed: Undercover| https://www.vgchartz.com/game/25731/need-for-speed-undercover/| 2008| Racing| Electronic Arts| 0.63| 1.01| 0.05| 0.38| 2.06| PlayStation 3
Mortal Kombat vs DC Universe| https://www.vgchartz.com/game/24577/mortal-kombat-vs-dc-universe/| 2008| Fighting| Midway Games| 1.52| 0.29| 0.00| 0.25| 2.05| PlayStation 3
Project Dark| https://www.vgchartz.com/game/47349/dark-souls/| 2011| Role-Playing| Namco Bandai| 0.75| 0.53| 0.54| 0.22| 2.05| PlayStation 3
