platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii|Need for Speed Undercover|12|21/11/2008|Y|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Skate It|7|21/11/2008|N|N|N|N|N|N|Y|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Madagascar: Escape 2 Africa|7|21/11/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Tomb Raider; Underworld|16|21/11/2008|N|N|N|N|N|N|Y|N||Eidos Interactive|Nintendo Wii
Nintendo Wii|Hasbro Family Game Night|3|21/11/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|KID PADDLE 2008|7|21/11/2008|N|N|N|Y|N|N|Y|N||Atari Europe|Nintendo Wii
Nintendo Wii|Rubik's Puzzle World|3|20/11/2008|N|N|N|N|N|N|N|N||K.E. Mathiasen A/S|Nintendo Wii
Nintendo Wii|Who wants to be a millionaire? 2|3|20/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|FUNFAIR PARTY|7|20/11/2008|N|N|N|Y|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Jewel Master - Cradle of Rome|3|19/11/2008|N|N|N|N|N|N|N|N||Astragon Sales &amp; Services GmbH|Nintendo Wii
Nintendo Wii|TV Show King|3|15/11/2008|N|N|N|N|N|N|N|N||Gameloft S.A.|Nintendo Wii
Nintendo Wii|Harry Potter and the Half-Blood Prince|12|14/11/2008|N|N|N|N|N|N|Y|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Shrek's Carnival Craze Party Games|3|14/11/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|All Star Cheerleader|3|14/11/2008|N|N|N|N|N|N|N|N||THQ Nordic|Nintendo Wii
Nintendo Wii|Barbie Horse Adventures: Riding Camp|3|14/11/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Star Wars: The Clone Wars: Lightsaber Duels|12|14/11/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Rock Band 2|12|14/11/2008|Y|N|N|N|N|Y|N|N||MTV Networks, a division of Viacom International|Nintendo Wii
Nintendo Wii|Who wants to be a millionaire? 2|3|20/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|FUNFAIR PARTY|7|20/11/2008|N|N|N|Y|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Jewel Master - Cradle of Rome|3|19/11/2008|N|N|N|N|N|N|N|N||Astragon Sales &amp; Services GmbH|Nintendo Wii
Nintendo Wii|TV Show King|3|15/11/2008|N|N|N|N|N|N|N|N||Gameloft S.A.|Nintendo Wii
Nintendo Wii|Harry Potter and the Half-Blood Prince|12|14/11/2008|N|N|N|N|N|N|Y|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Shrek's Carnival Craze Party Games|3|14/11/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|All Star Cheerleader|3|14/11/2008|N|N|N|N|N|N|N|N||THQ Nordic|Nintendo Wii
Nintendo Wii|Barbie Horse Adventures: Riding Camp|3|14/11/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Star Wars: The Clone Wars: Lightsaber Duels|12|14/11/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Rock Band 2|12|14/11/2008|Y|N|N|N|N|Y|N|N||MTV Networks, a division of Viacom International|Nintendo Wii
Nintendo Wii|Go Diego Go! Great Dinosaur Rescue|3|07/11/2008|N|N|N|N|N|N|N|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Dora the Explorer: Dora Saves the Snow Princess|3|07/11/2008|N|N|N|N|N|N|N|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Final Fantasy Fables: Chocobo's Dungeon|7|07/11/2008|N|N|N|N|N|N|Y|N||Square Enix Ltd|Nintendo Wii
Nintendo Wii|WWE SmackDown vs. Raw 2009|16|07/11/2008|N|N|N|N|N|N|Y|N||THQ Inc|Nintendo Wii
Nintendo Wii|The Legend of Spyroâ¢: Dawn of the Dragon|7|07/11/2008|N|N|N|N|N|N|Y|N||Blizzard Entertainment SAS|Nintendo Wii
Nintendo Wii|Kung Fu Panda: Legendary Warriors|7|07/11/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Trauma Center: New Blood|12|07/11/2008|Y|N|N|N|N|N|N|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|Petz - Dog Sports|3|06/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Planet Rescue - Wildlife Vet|3|06/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Mr. Bean|3|05/11/2008|N|N|N|N|N|N|N|N||Blast Entertainment Ltd|Nintendo Wii
Nintendo Wii|Go Diego Go! Great Dinosaur Rescue|3|07/11/2008|N|N|N|N|N|N|N|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Dora the Explorer: Dora Saves the Snow Princess|3|07/11/2008|N|N|N|N|N|N|N|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Final Fantasy Fables: Chocobo's Dungeon|7|07/11/2008|N|N|N|N|N|N|Y|N||Square Enix Ltd|Nintendo Wii
Nintendo Wii|WWE SmackDown vs. Raw 2009|16|07/11/2008|N|N|N|N|N|N|Y|N||THQ Inc|Nintendo Wii
Nintendo Wii|The Legend of Spyroâ¢: Dawn of the Dragon|7|07/11/2008|N|N|N|N|N|N|Y|N||Blizzard Entertainment SAS|Nintendo Wii
Nintendo Wii|Kung Fu Panda: Legendary Warriors|7|07/11/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Trauma Center: New Blood|12|07/11/2008|Y|N|N|N|N|N|N|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|Petz - Dog Sports|3|06/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Planet Rescue - Wildlife Vet|3|06/11/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Mr. Bean|3|05/11/2008|N|N|N|N|N|N|N|N||Blast Entertainment Ltd|Nintendo Wii
Nintendo Wii|MySims Kingdom|3|31/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Quantum of Solace|16|31/10/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Imagine Champion Rider|3|30/10/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Bienvenue chez les ch'tis|3|29/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|Monster Jam: Urban Assault|3|28/10/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Guitar Hero World Tour|12|26/10/2008|Y|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|SpongeBob Featuring NickToons: Globs of Doom|3|24/10/2008|N|N|N|N|N|N|N|N||THQ Inc|Nintendo Wii
Nintendo Wii|Zoo Hospital Wii|7|24/10/2008|N|N|N|Y|N|N|N|N||Majesco Europe Limited|Nintendo Wii
Nintendo Wii|Tak Guardians of Gross|3|24/10/2008|N|N|N|N|N|N|N|N||THQ Inc|Nintendo Wii
Nintendo Wii|Disaster: Day of Crisis|16|24/10/2008|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|MySims Kingdom|3|31/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Quantum of Solace|16|31/10/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Imagine Champion Rider|3|30/10/2008|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Bienvenue chez les ch'tis|3|29/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|Monster Jam: Urban Assault|3|28/10/2008|N|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Guitar Hero World Tour|12|26/10/2008|Y|N|N|N|N|N|N|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|SpongeBob Featuring NickToons: Globs of Doom|3|24/10/2008|N|N|N|N|N|N|N|N||THQ Inc|Nintendo Wii
Nintendo Wii|Zoo Hospital Wii|7|24/10/2008|N|N|N|Y|N|N|N|N||Majesco Europe Limited|Nintendo Wii
Nintendo Wii|Tak Guardians of Gross|3|24/10/2008|N|N|N|N|N|N|N|N||THQ Inc|Nintendo Wii
Nintendo Wii|Disaster: Day of Crisis|16|24/10/2008|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii
Nintendo Wii|LITTLEST PET SHOP|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Boogie SuperStar|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Spiderman Web of Shadows|12|17/10/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Real Stories VÃ©tÃ©rinaire|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|Real Stories Mission Equitation|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|NBA Live 09 All-Play|3|10/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Twin Strike: Operation Thunder|7|10/10/2008|N|N|N|N|N|N|Y|N||Zushi Games|Nintendo Wii
Nintendo Wii|NHL 2K9|16|10/10/2008|N|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Crash: Mind Over Mutant|7|07/10/2008|N|N|N|N|N|N|Y|N||Blizzard Entertainment SAS|Nintendo Wii
Nintendo Wii|FIFA 09|3|03/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|LITTLEST PET SHOP|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Boogie SuperStar|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Spiderman Web of Shadows|12|17/10/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Real Stories VÃ©tÃ©rinaire|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|Real Stories Mission Equitation|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|NBA Live 09 All-Play|3|10/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Twin Strike: Operation Thunder|7|10/10/2008|N|N|N|N|N|N|Y|N||Zushi Games|Nintendo Wii
Nintendo Wii|NHL 2K9|16|10/10/2008|N|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Nintendo Wii
Nintendo Wii|Crash: Mind Over Mutant|7|07/10/2008|N|N|N|N|N|N|Y|N||Blizzard Entertainment SAS|Nintendo Wii
Nintendo Wii|FIFA 09|3|03/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|LITTLEST PET SHOP|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Boogie SuperStar|3|17/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
Nintendo Wii|Spiderman Web of Shadows|12|17/10/2008|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Nintendo Wii
Nintendo Wii|Real Stories VÃ©tÃ©rinaire|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|Real Stories Mission Equitation|3|15/10/2008|N|N|N|N|N|N|N|N||Mindscape S.A.|Nintendo Wii
Nintendo Wii|NBA Live 09 All-Play|3|10/10/2008|N|N|N|N|N|N|N|N||EA Swiss Sarl|Nintendo Wii
