Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Mighty Gunvolt Burst| https://www.vgchartz.com/game/175816/mighty-gunvolt-burst/| N/A| Action| | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
Metroid Prime 4| https://www.vgchartz.com/game/182692/metroid-prime-4/| 2020| Action-Adventure| Nintendo| 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
Yoshi| https://www.vgchartz.com/game/182717/yoshis-crafted-world/| 2019| Platform| Nintendo| 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
Dragon Quest X| https://www.vgchartz.com/game/207571/dragon-quest-x-duplicate/| 2017| MMO| Square Enix| 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
| https://www.vgchartz.com/game/228172/unknown/| N/A| | | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
The Mummy Demastered| https://www.vgchartz.com/game/213798/the-mummy-demastered/| N/A| Action| | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
Battle Chef Brigade| https://www.vgchartz.com/game/219116/battle-chef-brigade/| N/A| Action| | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
Phantom Breaker: Battle Grounds| https://www.vgchartz.com/game/223838/phantom-breaker-battle-grounds/| N/A| Action| | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
| https://www.vgchartz.com/game/233138/unknown/| N/A| | | 0.00| 0.00| 0.00| 0.00| 0.00| Nintendo Switch
31.13| NA| 25.21| 13.69| 5.28| 75.32| NA| NA| NA| NA| Nintendo Switch
31.13| NA| 25.21| 13.69| 5.28| 75.31| NA| NA| NA| NA| Nintendo Switch
