Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
FIFA Soccer 12| https://www.vgchartz.com/game/50885/fifa-soccer-12/| 2011| Sports| EA Sports| 0.85| 2.79| 0.02| 0.52| 4.18| Xbox 360
FIFA Soccer 14| https://www.vgchartz.com/game/72085/fifa-14/| 2013| Sports| EA Sports| 0.94| 2.92| 0.01| 0.29| 4.15| Xbox 360
Fallout: New Vegas| https://www.vgchartz.com/game/33663/fallout-new-vegas/| 2010| Role-Playing| Bethesda Softworks| 2.67| 1.03| 0.04| 0.34| 4.08| Xbox 360
Forza Motorsport 2| https://www.vgchartz.com/game/6076/forza-motorsport-2/| 2007| Racing| Microsoft Game Studios| 2.35| 1.27| 0.03| 0.41| 4.05| Xbox 360
Left 4 Dead 2| https://www.vgchartz.com/game/35020/left-4-dead-2/| 2009| Shooter| Electronic Arts| 2.67| 0.88| 0.05| 0.38| 3.97| Xbox 360
Lego Indiana Jones: The Original Adventures| https://www.vgchartz.com/game/15206/lego-indiana-jones-the-original-adventures/| 2008| Adventure| LucasArts| 2.40| 1.01| 0.00| 0.36| 3.76| Xbox 360
Battlefield 4| https://www.vgchartz.com/game/71511/battlefield-4/| 2013| Shooter| Electronic Arts| 2.16| 1.05| 0.02| 0.32| 3.54| Xbox 360
Batman: Arkham Asylum| https://www.vgchartz.com/game/31494/batman-arkham-asylum/| 2009| Action| Eidos Interactive| 2.24| 0.95| 0.02| 0.33| 3.54| Xbox 360
Assassin's Creed: Brotherhood| https://www.vgchartz.com/game/45054/assassins-creed-brotherhood/| 2010| Action| Ubisoft| 2.87| 0.39| 0.03| 0.25| 3.53| Xbox 360
Resident Evil 5| https://www.vgchartz.com/game/7676/resident-evil-5/| 2009| Action| Capcom| 2.13| 0.93| 0.12| 0.34| 3.53| Xbox 360
FIFA Soccer 11| https://www.vgchartz.com/game/43329/fifa-soccer-11/| 2010| Sports| EA Sports| 0.71| 2.39| 0.02| 0.40| 3.52| Xbox 360
Left 4 Dead| https://www.vgchartz.com/game/13868/left-4-dead/| 2008| Shooter| Electronic Arts| 2.66| 0.49| 0.05| 0.31| 3.52| Xbox 360
Battlefield: Bad Company 2| https://www.vgchartz.com/game/31439/battlefield-bad-company-2/| 2010| Shooter| Electronic Arts| 2.11| 1.01| 0.04| 0.33| 3.48| Xbox 360
Borderlands| https://www.vgchartz.com/game/13826/borderlands/| 2009| Shooter| 2K Games| 2.43| 0.72| 0.03| 0.30| 3.48| Xbox 360
Lego Batman: The Videogame| https://www.vgchartz.com/game/13867/lego-batman-the-videogame/| 2008| Adventure| Warner Bros. Interactive| 2.07| 1.04| 0.00| 0.34| 3.44| Xbox 360
Assassin's Creed IV: Black Flag| https://www.vgchartz.com/game/71599/assassins-creed-iv-black-flag/| 2013| Action-Adventure| Ubisoft| 1.90| 1.14| 0.01| 0.30| 3.34| Xbox 360
Dance Central| https://www.vgchartz.com/game/45609/dance-central/| 2010| Music| MTV Games| 2.15| 0.76| 0.01| 0.26| 3.18| Xbox 360
NBA 2K13| https://www.vgchartz.com/game/70741/nba-2k13/| 2012| Sports| 2K Sports| 2.62| 0.21| 0.01| 0.28| 3.11| Xbox 360
Mass Effect 2| https://www.vgchartz.com/game/28815/mass-effect-2/| 2010| Role-Playing| Electronic Arts| 1.99| 0.81| 0.03| 0.27| 3.10| Xbox 360
Saints Row 2| https://www.vgchartz.com/game/13813/saints-row-2/| 2008| Action| THQ| 1.98| 0.79| 0.02| 0.28| 3.07| Xbox 360
Borderlands 2| https://www.vgchartz.com/game/55597/borderlands-2/| 2012| Shooter| 2K Games| 1.89| 0.88| 0.04| 0.26| 3.06| Xbox 360
Kung Fu Panda| https://www.vgchartz.com/game/23457/kung-fu-panda/| 2008| Platform| Activision| 1.91| 0.84| 0.00| 0.29| 3.05| Xbox 360
Mass Effect 3| https://www.vgchartz.com/game/44118/mass-effect-3/| 2012| Role-Playing| Electronic Arts| 1.94| 0.84| 0.03| 0.24| 3.04| Xbox 360
Far Cry 3| https://www.vgchartz.com/game/51771/far-cry-3/| 2012| Shooter| Ubisoft| 1.38| 1.33| 0.02| 0.25| 2.98| Xbox 360
Street Fighter IV| https://www.vgchartz.com/game/16065/street-fighter-iv/| 2009| Fighting| Capcom| 1.83| 0.70| 0.15| 0.26| 2.95| Xbox 360
Madden NFL 13| https://www.vgchartz.com/game/70678/madden-nfl-13/| 2012| Sports| EA Sports| 2.53| 0.16| 0.00| 0.24| 2.93| Xbox 360
Mass Effect| https://www.vgchartz.com/game/7635/mass-effect/| 2007| Role-Playing| Microsoft Game Studios| 1.83| 0.79| 0.03| 0.27| 2.91| Xbox 360
FIFA 15| https://www.vgchartz.com/game/82922/fifa-15/| 2014| Sports| EA Sports| 0.80| 1.90| 0.00| 0.21| 2.91| Xbox 360
Sega Superstars Tennis| https://www.vgchartz.com/game/14444/sega-superstars-tennis/| 2008| Sports| Sega| 1.75| 0.86| 0.00| 0.28| 2.89| Xbox 360
Madden NFL 10| https://www.vgchartz.com/game/33189/madden-nfl-10/| 2009| Sports| EA Sports| 2.52| 0.09| 0.00| 0.22| 2.83| Xbox 360
Bioshock| https://www.vgchartz.com/game/7023/bioshock/| 2007| Shooter| 2K Games| 1.65| 0.85| 0.05| 0.28| 2.83| Xbox 360
Star Wars: The Force Unleashed| https://www.vgchartz.com/game/13961/star-wars-the-force-unleashed/| 2008| Action| LucasArts| 1.74| 0.78| 0.00| 0.26| 2.77| Xbox 360
