platform.filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform.list
1|Nintendo DS|Super Dodgeball Beats|7|28/06/2019|N|N|N|N|N|N|Y|N|Dodgeball hysteria has hit its peak and has taken over the world of mainstream sport. Three failing school kids band together to set u their own Dodgeball team and face off against zany enemies including...|PlayStack Ltd|PlayStation 4, Nintendo Switch, Nintendo 3DS, PC
2|Nintendo DS|Persona Q2: New Cinema Labyrinth|12|04/06/2019|Y|N|N|N|N|Y|Y|N|Persona Q2: New Cinema Labyrinth is a dungeon crawling RPG with turn-based combat, intricate dungeon mapping, &amp; the summoning and use of various mythological and literary creatures known as "Persona"....|Koch Media GmbH (Austria)|Nintendo 3DS
3|Nintendo DS|Kirby's Extra Epic Yarn|3|08/03/2019|N|N|N|N|N|N|N|N|Kirby has a new look based on animated yarn and a world of cloth and textiles. The creative approach is woven directly into the gameplay and allows the ever-morphing Kirby to take on a variety of new forms....|Nintendo of Europe GmbH|Nintendo 3DS
4|Nintendo DS|Etrian Odyssey Nexus|12|05/02/2019|Y|N|N|N|N|N|N|N|Etrian Odyssey Nexus is a dungeon crawling RPG in which players command a team of customized adventurers through labyrinths, collecting treasure and fighting monsters.|Koch Media GmbH (Austria)|Nintendo 3DS
5|Nintendo DS|Mario &amp; Luigi: Bowserâs Inside Story + Bowser Jr.âs Journey|3|25/01/2019|N|N|N|N|N|N|N|N|Nintendo DS classic, Mario &amp; Luigi: Bowserâs Inside Story, is back! Thanks to Fawful, both brothers have been devoured by Bowser! Their journey takes them deep into the belly of the beast, leaving...|Nintendo of Europe GmbH|Nintendo 3DS
6|Nintendo DS|YO-KAI WATCH 3|7|07/12/2018|N|N|N|Y|N|N|Y|N|Yo-kai are invisible monsters behind many of the common troubles we face every day. When gifted a special watch that allows them to see the little creatures, players go on an adventure to befriend Yo-kai...|Nintendo of Europe GmbH|Nintendo 3DS
7|Nintendo DS|PAW Patrol: On A Roll!|3|21/10/2018|N|N|N|N|N|N|N|N|Paw Patrol is a side-scrolling platforming puzzle adventure game featuring micro-games tied into the pupâs abilities. Complete missions across 8 locales and call on your Paw Patrol teammates to co-operate...|Outright Games|PlayStation 4, Xbox One, Nintendo Switch, Nintendo 3DS
8|Nintendo DS|Luigi's Mansion|7|19/10/2018|N|N|N|Y|N|N|N|N|Nintendo GameCube classic Luigiâs Mansion has been remade for Nintendo 3DS family systems! Luigiâs something of a scaredy-cat, but these classic ghosts and traps are no match for his vacuum cleaner!|Nintendo of Europe GmbH|Nintendo 3DS
9|Nintendo DS|Jake Hunter Detective Story: Ghost of the Dusk|16|28/09/2018|N|N|Y|N|N|N|N|N|It all begins with the accidental death of a homeless man in a mysterious mansion. Despite the crime scene appearing relatively normal, Jake canât shake the feeling that something isnât right. During...|Aksys Games|Nintendo 3DS
10|Nintendo DS|YO-KAI WATCH BLASTERS: WHITE DOG SQUAD|7|07/09/2018|N|N|N|N|N|N|Y|N|Taking control of the Busters, a group of Yo-Kai, you can launch "Patrol" quests, and take on bosses in the new "Big Boss" mode. At the Yo-Kai Busters headquarters, you can power up Yo-Kai on the team,...|Nintendo of Europe GmbH|Nintendo 3DS
