Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Grand Theft Auto V| https://www.vgchartz.com/game/83196/grand-theft-auto-v/| 2014| Action| Rockstar Games| 6.06| 9.71| 0.60| 3.02| 19.39| PlayStation 4
Call of Duty: Black Ops 3| https://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/| 2015| Shooter| Activision| 6.18| 6.05| 0.41| 2.44| 15.09| PlayStation 4
Red Dead Redemption 2| https://www.vgchartz.com/game/140683/red-dead-redemption-2/| 2018| Action-Adventure| Rockstar Games| 5.26| 6.21| 0.21| 2.26| 13.94| PlayStation 4
Call of Duty: WWII| https://www.vgchartz.com/game/170599/call-of-duty-wwii/| 2017| Shooter| Activision| 4.67| 6.21| 0.40| 2.12| 13.40| PlayStation 4
FIFA 18| https://www.vgchartz.com/game/180525/fifa-18/| 2017| Sports| EA Sports| 1.27| 8.64| 0.15| 1.73| 11.80| PlayStation 4
FIFA 17| https://www.vgchartz.com/game/117272/fifa-17/| 2016| Sports| Electronic Arts| 1.26| 7.95| 0.12| 1.61| 10.94| PlayStation 4
Uncharted (PS4)| https://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/| 2016| Action| Sony Interactive Entertainment| 4.49| 3.93| 0.21| 1.70| 10.33| PlayStation 4
Spider-Man (PS4)| https://www.vgchartz.com/game/120133/marvels-spider-man/| 2018| Action-Adventure| Sony Interactive Entertainment| 3.64| 3.39| 0.32| 1.41| 8.76| PlayStation 4
Call of Duty: Infinite Warfare| https://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/| 2016| Shooter| Activision| 3.11| 3.83| 0.19| 1.36| 8.48| PlayStation 4
Fallout 4| https://www.vgchartz.com/game/85599/fallout-4/| 2015| Role-Playing| Bethesda Softworks| 2.91| 3.97| 0.27| 1.34| 8.48| PlayStation 4
FIFA 16| https://www.vgchartz.com/game/85616/fifa-16/| 2015| Sports| EA Sports| 1.15| 5.77| 0.07| 1.23| 8.22| PlayStation 4
Star Wars Battlefront (2015)| https://www.vgchartz.com/game/83364/star-wars-battlefront-2015/| 2015| Shooter| Electronic Arts| 3.31| 3.19| 0.23| 1.30| 8.03| PlayStation 4
Call of Duty: Advanced Warfare| https://www.vgchartz.com/game/81797/call-of-duty-advanced-warfare/| 2014| Shooter| Activision| 2.84| 3.34| 0.14| 1.22| 7.53| PlayStation 4
Battlefield 1| https://www.vgchartz.com/game/110843/battlefield-1/| 2016| Shooter| Electronic Arts| 2.20| 3.65| 0.29| 1.12| 7.26| PlayStation 4
The Last of Us| https://www.vgchartz.com/game/80977/the-last-of-us-remastered/| 2014| Action-Adventure| Sony Computer Entertainment| 2.70| 2.86| 0.11| 1.10| 6.77| PlayStation 4
MineCraft| https://www.vgchartz.com/game/75586/minecraft/| 2014| Misc| Sony Computer Entertainment| 1.89| 3.13| 0.35| 0.96| 6.33| PlayStation 4
