platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
PlayStation 3|Uncharted 3 Drake's Deception Game of the Year Edition|16|13/06/2012|N|N|N|N|N|N|Y|N|Play as Nate Drake as he travels the world risking life and limb to find the secret treasure of Francis Drake. Also join your friends at home or online with the new multiplayer levels.|âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Madagascar 3: Europe's Most Wanted|3|08/06/2012|N|N|N|N|N|N|N|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Snowy: The Treasure Hunter|3|01/06/2012|N|N|N|N|N|N|N|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Summer Stars 2012|3|01/06/2012|N|N|N|N|N|N|N|N||Koch Media GmbH (Austria)|Playstation 3
PlayStation 3|Labyrinth Legends|12|01/06/2012|N|N|N|N|N|N|Y|N|Find you way through labyrinths whilst fighting off enemies including; zombies, knights and evil wizards.|Creat Studios, Inc.|Playstation 3
PlayStation 3|Mad Riders|3|30/05/2012|N|N|N|N|N|N|N|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Zuma's Revenge!|7|30/05/2012|N|N|N|Y|N|N|Y|N||PopCap Games, Inc|Playstation 3
PlayStation 3|Zen Pinball 2|12|30/05/2012|Y|N|N|N|N|N|Y|N|Play pinball with your favourite Marvel comic heroes.|ZEN Studios Ltd|Playstation 3
PlayStation 3|Foosball 2012|3|30/05/2012|N|N|N|N|N|N|N|N||GRIP Digital s.r.o|Playstation 3
PlayStation 3|Zombie Driver HD|18|30/05/2012|N|N|N|N|N|N|Y|N|Drive around the streets, mowing down zombies with your various vehicles plus weaponry and rescue the civillians.|EXOR Studios Wojciech lekki sp j.|Playstation 3
PlayStation 3|Fuel Overdose|12|27/05/2012|N|N|N|N|N|Y|N|N|Aerial view racing game where the cars shoot at each other.|I-Friqiya FZ-LLC (known as I-Friqiya)|Playstation 3
PlayStation 3|Lollipop Chainsaw|18|25/05/2012|Y|N|N|N|N|N|Y|N||Warner Brothers Entertainment UK Ltd|Playstation 3
PlayStation 3|Tom Clancy's Ghost Recon Future Soldierâ¢|18|24/05/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Men in Black: Alien Crisis|12|24/05/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Rune Factory Oceans|12|23/05/2012|N|N|N|N|N|N|Y|N||Rising Star Games Ltd|Playstation 3
PlayStation 3|DiRT Showdown|7|23/05/2012|N|N|N|N|N|N|Y|N||Codemasters|Playstation 3
PlayStation 3|Sorceryâ¢|12|23/05/2012|N|N|N|N|N|N|Y|N|Complete your quest to become a powerful sorceror.|âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Pinball Arcade|12|22/05/2012|N|N|N|N|N|N|Y|N|The gameplay consists of playing 4 different pinball machines, set in 4 countries, which provide specific tasks within the game associated with that environment.|FarSight Studios|Playstation 3
PlayStation 3|Buzz Lightyear of Star Command|7|20/05/2012|N|N|N|N|N|N|Y|N||The Walt Disney Company Ltd|Playstation 3
PlayStation 3|The Walking Dead|18|18/05/2012|Y|N|N|N|N|N|Y|N||Skybound Games|Playstation 3
PlayStation 3|Max Payne 3|18|18/05/2012|Y|N|N|N|N|N|Y|N|Action shooter, where you play an ex-cop hired to do protection work for a rich family. Gameplay is mainly gun fighting which results in strong bloody violence.|Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Deus Ex|16|16/05/2012|N|N|N|N|N|N|Y|N|Defeat the terrorists before the virus wipes out the majority of mankind.|Square Enix Ltd|Playstation 3
PlayStation 3|Tom Clancy's Ghost Recon Future Soldierâ¢|18|24/05/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Men in Black: Alien Crisis|12|24/05/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Rune Factory Oceans|12|23/05/2012|N|N|N|N|N|N|Y|N||Rising Star Games Ltd|Playstation 3
PlayStation 3|DiRT Showdown|7|23/05/2012|N|N|N|N|N|N|Y|N||Codemasters|Playstation 3
PlayStation 3|Sorceryâ¢|12|23/05/2012|N|N|N|N|N|N|Y|N|Complete your quest to become a powerful sorceror.|âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Pinball Arcade|12|22/05/2012|N|N|N|N|N|N|Y|N|The gameplay consists of playing 4 different pinball machines, set in 4 countries, which provide specific tasks within the game associated with that environment.|FarSight Studios|Playstation 3
PlayStation 3|Buzz Lightyear of Star Command|7|20/05/2012|N|N|N|N|N|N|Y|N||The Walt Disney Company Ltd|Playstation 3
PlayStation 3|The Walking Dead|18|18/05/2012|Y|N|N|N|N|N|Y|N||Skybound Games|Playstation 3
PlayStation 3|Max Payne 3|18|18/05/2012|Y|N|N|N|N|N|Y|N|Action shooter, where you play an ex-cop hired to do protection work for a rich family. Gameplay is mainly gun fighting which results in strong bloody violence.|Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Deus Ex|16|16/05/2012|N|N|N|N|N|N|Y|N|Defeat the terrorists before the virus wipes out the majority of mankind.|Square Enix Ltd|Playstation 3
PlayStation 3|Tom Clancy's Ghost Recon Future Soldierâ¢|18|24/05/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Men in Black: Alien Crisis|12|24/05/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Rune Factory Oceans|12|23/05/2012|N|N|N|N|N|N|Y|N||Rising Star Games Ltd|Playstation 3
PlayStation 3|DiRT Showdown|7|23/05/2012|N|N|N|N|N|N|Y|N||Codemasters|Playstation 3
PlayStation 3|Sorceryâ¢|12|23/05/2012|N|N|N|N|N|N|Y|N|Complete your quest to become a powerful sorceror.|âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Pinball Arcade|12|22/05/2012|N|N|N|N|N|N|Y|N|The gameplay consists of playing 4 different pinball machines, set in 4 countries, which provide specific tasks within the game associated with that environment.|FarSight Studios|Playstation 3
PlayStation 3|Buzz Lightyear of Star Command|7|20/05/2012|N|N|N|N|N|N|Y|N||The Walt Disney Company Ltd|Playstation 3
PlayStation 3|The Walking Dead|18|18/05/2012|Y|N|N|N|N|N|Y|N||Skybound Games|Playstation 3
PlayStation 3|Max Payne 3|18|18/05/2012|Y|N|N|N|N|N|Y|N|Action shooter, where you play an ex-cop hired to do protection work for a rich family. Gameplay is mainly gun fighting which results in strong bloody violence.|Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Deus Ex|16|16/05/2012|N|N|N|N|N|N|Y|N|Defeat the terrorists before the virus wipes out the majority of mankind.|Square Enix Ltd|Playstation 3
PlayStation 3|Pure Chess|3|04/04/2012|N|N|N|N|N|N|N|N||Ripstone Ltd|Playstation 3
PlayStation 3|Frogger: Hyper Arcade Edition|3|03/04/2012|N|N|N|N|N|N|N|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Damage Inc. Pacific Squadron WWII|12|01/04/2012|N|N|N|N|N|N|Y|N||MadCatz Inc.|Playstation 3
PlayStation 3|I AM ALIVEâ¢|18|31/03/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Tiger Woods PGA TOURÂ® 13 The MastersÂ® Collector's Edition|3|30/03/2012|N|N|N|N|N|N|N|N||EA Swiss Sarl|Playstation 3
PlayStation 3|NARUTO Shippuden: Ultimate Ninja Storm Generations|12|30/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Test Drive Ferrari - Racing Legends|3|30/03/2012|N|N|N|N|N|N|N|N||XIM Inc|Playstation 3
PlayStation 3|Warriors Orochi 3|12|30/03/2012|Y|N|N|N|N|N|Y|N||Koei Tecmo Europe Ltd|Playstation 3
PlayStation 3|Ridge Racer Unbounded|7|30/03/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Twisted Lands: Shadow Town|12|29/03/2012|Y|N|N|N|N|N|Y|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Pure Chess|3|04/04/2012|N|N|N|N|N|N|N|N||Ripstone Ltd|Playstation 3
PlayStation 3|Frogger: Hyper Arcade Edition|3|03/04/2012|N|N|N|N|N|N|N|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Damage Inc. Pacific Squadron WWII|12|01/04/2012|N|N|N|N|N|N|Y|N||MadCatz Inc.|Playstation 3
PlayStation 3|I AM ALIVEâ¢|18|31/03/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Tiger Woods PGA TOURÂ® 13 The MastersÂ® Collector's Edition|3|30/03/2012|N|N|N|N|N|N|N|N||EA Swiss Sarl|Playstation 3
PlayStation 3|NARUTO Shippuden: Ultimate Ninja Storm Generations|12|30/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Test Drive Ferrari - Racing Legends|3|30/03/2012|N|N|N|N|N|N|N|N||XIM Inc|Playstation 3
PlayStation 3|Warriors Orochi 3|12|30/03/2012|Y|N|N|N|N|N|Y|N||Koei Tecmo Europe Ltd|Playstation 3
PlayStation 3|Ridge Racer Unbounded|7|30/03/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Twisted Lands: Shadow Town|12|29/03/2012|Y|N|N|N|N|N|Y|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Pure Chess|3|04/04/2012|N|N|N|N|N|N|N|N||Ripstone Ltd|Playstation 3
PlayStation 3|Frogger: Hyper Arcade Edition|3|03/04/2012|N|N|N|N|N|N|N|N||Konami Digital Entertainment BV|Playstation 3
PlayStation 3|Damage Inc. Pacific Squadron WWII|12|01/04/2012|N|N|N|N|N|N|Y|N||MadCatz Inc.|Playstation 3
PlayStation 3|I AM ALIVEâ¢|18|31/03/2012|Y|N|N|N|N|N|Y|N||Ubisoft EMEA|Playstation 3
PlayStation 3|Tiger Woods PGA TOURÂ® 13 The MastersÂ® Collector's Edition|3|30/03/2012|N|N|N|N|N|N|N|N||EA Swiss Sarl|Playstation 3
PlayStation 3|NARUTO Shippuden: Ultimate Ninja Storm Generations|12|30/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Test Drive Ferrari - Racing Legends|3|30/03/2012|N|N|N|N|N|N|N|N||XIM Inc|Playstation 3
PlayStation 3|Warriors Orochi 3|12|30/03/2012|Y|N|N|N|N|N|Y|N||Koei Tecmo Europe Ltd|Playstation 3
PlayStation 3|Ridge Racer Unbounded|7|30/03/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Twisted Lands: Shadow Town|12|29/03/2012|Y|N|N|N|N|N|Y|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Doctor Who: The Eternity Clock|12|13/03/2012|Y|N|N|N|N|N|Y|N||BBC Worldwide (Digital Entertainment &amp; Games)|Playstation 3
PlayStation 3|WWE WrestleFest|12|12/03/2012|N|N|N|N|N|N|Y|N||THQ Inc|Playstation 3
PlayStation 3|PlayStationÂ®Move Heroes|12|09/03/2012|N|N|N|N|N|N|Y|N||âSony Interactive Entertainment Europeâ|Playstation 3
PlayStation 3|Mass Effect 3|18|09/03/2012|Y|N|N|N|N|N|Y|N||EA Swiss Sarl|Playstation 3
PlayStation 3|Cabela's Big Game Hunter 2012|16|08/03/2012|N|N|N|N|N|N|Y|N||Activision Blizzard UK Ltd|Playstation 3
PlayStation 3|Armored Core V|12|02/03/2012|Y|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Playstation 3
PlayStation 3|Alien Breed Trilogy|16|02/03/2012|N|N|N|N|N|N|Y|N||Mastertronic Group Limited|Playstation 3
PlayStation 3|4 in 1 Action Pack|12|01/03/2012|N|N|N|N|N|N|Y|N||SouthPeak Interactive|Playstation 3
PlayStation 3|Farm Frenzy 3|3|01/03/2012|N|N|N|N|N|N|N|N||Alawar Entertainment Inc.|Playstation 3
PlayStation 3|Devil May Cry HD Collection|16|24/02/2012|N|N|N|N|N|N|Y|N||CE Europe Ltd.|Playstation 3
